date,ticker,period_return_20d,was_in_universe,was_selected,was_underweighted,expected_return_rank_pct,signal_rank_pct,volatility_rank_pct,expected_daily_return,signal_strength,quality_score,target_confidence,filter_status,diagnosis
2023-04-05,PEP,0.0530385837809641,True,False,False,0.13043478260869565,0.08695652173913043,0.34782608695652173,0.00080276830082,0.9554488105360576,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-04-05,AMZN,0.0286844863466662,True,False,False,0.6086956521739131,0.8260869565217391,0.5652173913043478,-8.183730484023073e-05,0.0363519329261336,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-04-13,AMZN,0.0955077991558939,True,False,False,0.8260869565217391,0.6956521739130435,0.08695652173913043,-0.0001440056474508,0.1718947939349776,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-04-13,GOOGL,0.0850786499458671,True,False,False,0.6956521739130435,0.4782608695652174,0.13043478260869565,-9.670596573202324e-05,0.4942286158480389,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-04-13,NVDA,0.0799229045670488,True,False,False,0.391304347826087,0.5217391304347826,0.043478260869565216,8.100880689083776e-05,0.4763205095374559,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-04-13,META,0.0700702825275341,True,False,False,0.043478260869565216,0.08695652173913043,0.21739130434782608,0.0024663638421481,0.8499621862461089,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-04-13,MSFT,0.0699350996059269,True,False,False,0.7391304347826086,0.21739130434782608,0.34782608695652173,-0.0001077229308483,0.7192831230329012,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-04-20,AMD,0.1977582906905131,True,False,False,0.9565217391304348,0.9565217391304348,0.782608695652174,-0.00020122940634,3.429707892111599e-05,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-04-20,NVDA,0.1687573564587157,True,False,False,0.043478260869565216,0.043478260869565216,0.5652173913043478,0.0027458054194001,1.0,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-04-20,GOOGL,0.1665875274291186,True,False,False,0.6956521739130435,0.2608695652173913,0.43478260869565216,-6.582213008157712e-05,0.5412679599540013,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-04-20,META,0.1585394359511867,True,False,False,0.5652173913043478,0.43478260869565216,0.391304347826087,-2.9798931734575807e-05,0.361825573820747,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-04-20,NFLX,0.1412018377613408,True,False,False,0.391304347826087,0.4782608695652174,0.8695652173913043,5.2477974668688056e-05,0.3270232934681879,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-04-27,NVDA,0.3949900747954449,True,False,False,0.34782608695652173,0.34782608695652173,0.2608695652173913,7.494521915191121e-05,0.5497618707403982,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-04-27,AMD,0.3763723137447063,True,False,False,0.4782608695652174,0.9565217391304348,0.7391304347826086,5.408755608233772e-06,0.0296847803300215,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-04-27,AVGO,0.1785061321932852,True,False,False,0.8260869565217391,0.6086956521739131,0.6956521739130435,-0.0001381724092605,0.1111087245299421,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-04-27,AMAT,0.1682485750732625,True,False,False,0.17391304347826086,1.0,0.782608695652174,0.0001707916192565,0.0,0.5,0.5,not_in_raw_selection,not_in_raw_selection
