horizon,tp_multiple,sl_multiple,subset,sample_size,TP_rate,SL_rate,timeout_rate,TP_minus_SL,avg_return,median_return,Sharpe,Sortino,max_drawdown_proxy,avg_time_to_exit
30,1.25,0.75,universe,460,0.17391304347826086,0.3978260869565217,0.4282608695652174,-0.22391304347826085,0.01728819128123082,-0.003986097310003989,0.11907349252022303,2.322765226196425,-0.9999993595050696,21.841304347826085
30,1.0,0.75,universe,460,0.27608695652173915,0.3978260869565217,0.32608695652173914,-0.12173913043478257,0.015933838750756074,0.0012302901931372512,0.11379632831885418,2.1271311233670067,-0.9999994795550641,20.530434782608694
30,2.0,1.0,universe,460,0.0391304347826087,0.30434782608695654,0.6565217391304348,-0.26521739130434785,0.01811305861821566,0.011819271736026704,0.11177781252087311,2.0645680257849355,-0.9999999675314383,25.797826086956523
30,1.5,1.0,universe,460,0.11521739130434783,0.30434782608695654,0.5804347826086956,-0.18913043478260871,0.017561361314185796,0.011819271736026704,0.11035393729948698,2.001684299859909,-0.9999999751704701,24.95
20,2.0,0.75,universe,460,0.04565217391304348,0.3847826086956522,0.5695652173913044,-0.3391304347826087,0.013777996561920502,-0.008192994064655401,0.10869044321158167,2.2368153674223357,-0.9999933963570787,15.908695652173913
30,2.0,1.25,universe,460,0.0391304347826087,0.1934782608695652,0.7673913043478261,-0.15434782608695652,0.017521546759098346,0.012126643574518203,0.10608081553196134,1.886470739261008,-0.9999999879683714,27.567391304347826
30,1.5,1.25,universe,460,0.11521739130434783,0.1934782608695652,0.691304347826087,-0.07826086956521738,0.016969849455068475,0.012126643574518203,0.10454745571844938,1.8270718268652686,-0.9999999907991095,26.719565217391306
20,2.0,1.0,universe,460,0.04565217391304348,0.2891304347826087,0.6652173913043479,-0.2434782608695652,0.013348980129292268,0.004556517258968773,0.10134397496248965,1.9160715094590155,-0.9999981028702146,17.293478260869566
30,2.0,1.5,universe,460,0.0391304347826087,0.12173913043478261,0.8391304347826087,-0.08260869565217391,0.01667216485264773,0.012370408645471231,0.099467658732615,1.7263580479288216,-0.9999999957955704,28.38478260869565
20,1.5,0.75,universe,460,0.09347826086956522,0.3847826086956522,0.5217391304347826,-0.29130434782608694,0.012123997421068287,-0.008192994064655401,0.09916489548317613,1.9682936938005882,-0.9999945812581812,15.560869565217391
