window_start,date,entry_date,exit_date,return,selected_tickers,selected_count,target_exposure,uncapped_exposure,cash_weight,turnover,rolling_vol_used,raw_target_source,reconstruction_type
2008-01-01,2010-08-18,2010-08-19,2010-08-26,-0.023050078557559493,"BKNG,MELI,AZN",3,0.6,0.75,0.4,0.0,0.2106355568699302,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-08-25,2010-08-26,2010-09-02,0.04314794759500625,"BKNG,NFLX,AZN,MELI",4,0.6,0.75,0.4,0.14999999999999997,0.213393177670116,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-09-01,2010-09-02,2010-09-10,0.01792622634782083,"BKNG,DXCM,AZN,NFLX",4,0.6,0.75,0.4,0.15,0.22950777385233126,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-09-09,2010-09-10,2010-09-17,0.003623219720350102,"BKNG,DXCM,AZN,NFLX",4,0.6,0.75,0.4,0.0,0.2071947762326229,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-09-16,2010-09-17,2010-09-24,0.012795325348285983,"BKNG,MELI,AZN,DXCM",4,0.6,0.75,0.4,0.15,0.1988293897127852,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-09-23,2010-09-24,2010-10-01,-0.02316642045066477,"BKNG,NFLX,AZN,DXCM",4,0.6,0.75,0.4,0.15,0.16324747557942904,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-09-30,2010-10-01,2010-10-08,0.011252052553587787,"BKNG,AMZN,AZN,DXCM",4,0.6,0.75,0.4,0.15,0.16216493935109474,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-10-07,2010-10-08,2010-10-15,0.02798683418717829,"BKNG,SIRI,AZN,AMZN",4,0.6,0.75,0.4,0.15,0.1576970309421782,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-10-14,2010-10-15,2010-10-22,-0.0027706816134786703,"SIRI,BKNG,AZN,AMZN",4,0.6,0.75,0.4,0.0,0.1421314201186927,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-10-21,2010-10-22,2010-10-29,0.0021370837614973818,"NFLX,BKNG,AZN,AMZN",4,0.6,0.75,0.4,0.15,0.14132230130383516,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-10-28,2010-10-29,2010-11-05,0.00810300403671126,"NFLX,SIRI,AMZN,BKNG",4,0.6,0.75,0.4,0.15,0.13115292608687198,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-11-04,2010-11-05,2010-11-12,-0.017877964029596148,"SIRI,MRVL,AMZN,NFLX",4,0.6,0.75,0.4,0.15,0.12983035269993398,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-11-11,2010-11-12,2010-11-19,-0.003079013100688105,"CCJ,BKNG,AMZN,MRVL",4,0.6,0.75,0.4,0.3,0.13861865967890108,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-11-18,2010-11-19,2010-11-29,0.012751289139340306,"CCJ,BKNG,AMZN,MRVL",4,0.6,0.75,0.4,0.0,0.1262652415577532,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-11-26,2010-11-29,2010-12-06,0.0153806569657988,"CCJ,NVDA,AMZN,BKNG",4,0.6,0.75,0.4,0.15,0.10002115793982497,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-12-03,2010-12-06,2010-12-13,0.002283462500271766,"ON,NVDA,AMZN,CCJ",4,0.6,0.75,0.4,0.15,0.09861960890100868,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-12-10,2010-12-13,2010-12-20,0.007344619832250059,"NVDA,CCJ,AMZN,ON",4,0.6,0.75,0.4,0.0,0.09867368178904551,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-12-17,2010-12-20,2010-12-28,0.004024448412577552,"CCJ,BKR,AMZN,NVDA",4,0.6,0.75,0.4,0.15,0.09710997308862408,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-12-27,2010-12-28,2011-01-04,0.027396792570213012,"CCJ,YPF,AMZN,NVDA",4,0.6,0.75,0.4,0.15,0.07820250124515508,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2011-01-03,2011-01-04,2011-01-11,0.038614234676280924,"YPF,NVDA,AMZN,CCJ",4,0.6,0.75,0.4,0.0,0.08909504642141992,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2011-01-10,2011-01-11,2011-01-19,0.02304204852210051,"NVDA,ON,AMZN,CCJ",4,0.6,0.75,0.4,0.15,0.10159715979691396,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2011-01-18,2011-01-19,2011-01-26,0.0031101323642877213,"NVDA,ON,AMZN,CCJ",4,0.6,0.75,0.4,0.0,0.10291109980758306,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2011-01-25,2011-01-26,2011-02-02,0.022046084863246256,"NVDA,ON,AMZN,CCJ",4,0.6,0.75,0.4,0.0,0.102606344816286,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2011-02-01,2011-02-02,2011-02-09,-0.02422027408650815,"NVDA,ON,CCJ",3,0.6,0.75,0.4,0.14999999999999997,0.10516678661126373,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2011-02-08,2011-02-09,2011-02-16,0.011021531248678905,"NVDA,MU,CCJ,ON",4,0.6,0.75,0.4,0.14999999999999997,0.11323017024136142,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2011-02-15,2011-02-16,2011-02-24,-0.029972170425233216,"MU,NVDA,CCJ,ON",4,0.6,0.75,0.4,0.0,0.10919702648577584,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2011-02-23,2011-02-24,2011-03-03,-0.006110289878815745,"TTWO,NVDA,CCJ,ON",4,0.6,0.75,0.4,0.15,0.13732845193228055,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2011-03-02,2011-03-03,2011-03-10,-0.05587302932737333,"VRTX,TTWO,ON,NVDA",4,0.6,0.75,0.4,0.15,0.13922007713826376,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2011-03-09,2011-03-10,2011-03-17,-0.007134524683176579,"VRTX,REGN,NVDA,TTWO",4,0.6,0.75,0.4,0.15,0.18699360797953488,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2011-03-16,2011-03-17,2011-03-24,0.036775183733445,"VRTX,MSTR,NVDA,TTWO",4,0.6,0.75,0.4,0.15,0.18732672113130175,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2011-03-23,2011-03-24,2011-03-31,0.01482470052334046,"MSTR,SMCI,NVDA,TTWO",4,0.6,0.75,0.4,0.15,0.20088212481797474,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2011-03-30,2011-03-31,2011-04-07,-0.005705436610100612,"MSTR,REGN,NVDA,TTWO",4,0.6,0.75,0.4,0.15,0.19582572703899737,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
