date,gross_daily_return,exposure,cash,fully_invested_equivalent_return,cash_drag_return
2014-07-18,-0.0266894679889196,0.6,0.4,-0.044482446648199336,0.017792978659279736
2014-07-25,-0.0054715350185961,0.6,0.4,-0.009119225030993501,0.003647690012397401
2014-08-01,-0.0095902301278526,0.6,0.4,-0.015983716879754334,0.006393486751901734
2014-08-08,0.0176547259441179,0.6,0.4,0.029424543240196502,-0.011769817296078601
2014-08-15,0.0033576753006409,0.6,0.4,0.0055961255010681665,-0.0022384502004272667
2014-08-22,0.0067961437532698,0.6,0.4,0.011326906255449668,-0.004530762502179868
2014-08-29,-0.0161641852483002,0.6,0.4,-0.026940308747167,0.0107761234988668
2014-09-08,-0.0053403475473708,0.6,0.4,-0.008900579245618,0.0035602316982472
2014-09-15,0.0161599810632556,0.6,0.4,0.026933301772092667,-0.010773320708837068
2014-09-22,0.0157055277295532,0.6,0.4,0.026175879549255335,-0.010470351819702135
2014-09-29,-0.019858809199158,0.6,0.4,-0.033098015331930006,0.013239206132772005
2014-10-06,-0.0070639613971898,0.6,0.4,-0.011773268995316333,0.004709307598126533
2014-10-13,0.0263290220895528,0.6,0.4,0.043881703482588,-0.0175526813930352
2014-10-20,0.0046459775031676,0.4,0.6,0.011614943757919001,-0.006968966254751401
2014-10-27,-0.0042722679730995,0.6,0.4,-0.0071204466218325,0.0028481786487330003
2014-11-03,0.0308980282828424,0.6,0.4,0.05149671380473733,-0.020598685521894932
2014-11-10,0.0070615672102173,0.6,0.4,0.0117692786836955,-0.004707711473478201
2014-11-17,-0.004489617682777,0.6,0.4,-0.007482696137961668,0.0029930784551846674
2014-11-24,-8.042536677536124e-05,0.6,0.4,-0.0001340422779589354,5.361691118357416e-05
2014-12-02,-0.0069184667041753,0.6,0.4,-0.011530777840292168,0.004612311136116868
2014-12-09,-0.008035780390545,0.6,0.4,-0.013392967317575001,0.005357186927030001
2014-12-16,0.0059200339048644,0.6,0.4,0.009866723174774002,-0.003946689269909601
2014-12-23,-0.0069877659011534,0.6,0.4,-0.011646276501922334,0.004658510600768934
2014-12-31,0.0138213199796925,0.6,0.4,0.0230355332994875,-0.009214213319795002
2015-01-08,-0.0042095540885162,0.6,0.4,-0.0070159234808603345,0.002806369392344134
2015-01-15,0.0257783957175396,0.6,0.4,0.042963992862566004,-0.017185597145026404
2015-01-23,0.0068423047090853,0.6,0.4,0.011403841181808833,-0.004561536472723534
2015-01-30,-0.0144054751957906,0.6,0.4,-0.024009125326317667,0.009603650130527067
2015-02-06,0.0121532932858781,0.6,0.4,0.020255488809796832,-0.008102195523918733
2015-02-13,0.0015544770636804,0.6,0.4,0.002590795106134,-0.0010363180424536
2015-02-23,0.0049012472310598,0.6,0.4,0.008168745385099667,-0.0032674981540398674
2015-03-02,-0.0074855533426718,0.6,0.4,-0.012475922237786333,0.004990368895114533
2015-03-09,0.0050442156960285,0.6,0.4,0.008407026160047501,-0.003362810464019001
2015-03-16,0.0115932506002533,0.6,0.4,0.0193220843337555,-0.007728833733502199
2015-03-23,-0.0179898610161275,0.6,0.4,-0.029983101693545837,0.011993240677418335
2015-03-30,0.0206549487290204,0.6,0.4,0.03442491454836733,-0.013769965819346933
2015-04-07,0.0134149552431472,0.6,0.4,0.022358258738578666,-0.008943303495431466
2015-04-14,0.0039474531884473,0.6,0.4,0.006579088647412168,-0.002631635458964867
2015-04-21,-0.007889010764581,0.6,0.4,-0.013148351274301666,0.005259340509720666
2015-04-28,0.0077136884952949,0.6,0.4,0.012856147492158168,-0.005142458996863268
2015-05-05,-0.0120360234033271,0.6,0.4,-0.02006003900554517,0.00802401560221807
2015-05-12,-0.0073531803991402,0.6,0.4,-0.012255300665233667,0.004902120266093467
2015-05-19,-0.0093255278332592,0.6,0.4,-0.015542546388765333,0.006217018555506134
2015-05-27,0.000122306501268,0.6,0.4,0.00020384416878000002,-8.153766751200001e-05
2015-06-03,0.0163793940428924,0.6,0.4,0.027298990071487336,-0.010919596028594936
2015-06-10,0.0117301478591577,0.6,0.4,0.0195502464319295,-0.0078200985727718
2015-06-17,-0.010769358757248,0.6,0.4,-0.01794893126208,0.007179572504832001
