company_name,byma_ticker,underlying_ticker,exchange,ratio,is_us_listed,is_nasdaq,is_nyse,is_etf,tradable_from_argentina,source_file,parse_status
Ferrari,RACE,RACE,NYSE,83:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Roblox Corp.,RBLX,RBLX,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Localiza Rent A Car S.A.,RENT3,RENT3,B3,2:1,True,False,False,False,True,cedears_byma_list.txt,parsed
RIGETTI COMPUTING INC,RGTI,RGTI,NASDAQ CM,2:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Rio Tinto Plc,RIO,RIO,NYSE,8:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Riot Platforms,RIOT,RIOT,NASDAQ,3:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Rocket Lab Corp,RKLB,RKLB,NASDAQ,12:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Roku,ROKU,ROKU,NASDAQ,13:1,True,True,False,False,True,cedears_byma_list.txt,parsed
"Ross Stores, Inc.",ROST,ROST,NASDAQ,4:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Invesco S&P 500 eql wght ETF,RSP,RSP,NYSE ARCA,30:1,True,False,False,True,True,cedears_byma_list.txt,parsed
Raytheon Technologies Corp,RTX,RTX,NYSE,5:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Banco Santander S.A,SAN,SAN,NYSE,1:4,True,False,True,False,True,cedears_byma_list.txt,parsed
Sap Se,SAP,SAP,NYSE,6:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Satellogic Inc.,SATL,SATL,NASDAQ GS,1:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Cia Saneamento Básico de SP,SBSP3,SBSP3,B3,1:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Starbucks Corporation,SBUX,SBUX,NASDAQ,12:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Southern Copper Corp,SCCO,SCCO,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Charles Schwab,SCHW,SCHW,NYSE,13:1,True,False,True,False,True,cedears_byma_list.txt,parsed
SunCar Technology Group Inc,SDA,SDA,NASDAQ,2:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Sea Ltd.,SE,SE,NYSE,32:1,True,False,True,False,True,cedears_byma_list.txt,parsed
PROSHARES SHORT S&P500,SH,SH,NYSE,8:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Royal Dutch Shell Plc,SHEL,SHEL,NYSE,2:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Shopify Inc.,SHOP,SHOP,NYSE,107:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Shapeways Holdings Inc,SHPW,SHPW,NYSE,1:2,True,False,True,False,True,cedears_byma_list.txt,parsed
Silvergate Bancorp,SI,SI,NYSE,10:1,True,False,True,False,True,cedears_byma_list.txt,parsed
