scope,group,horizon,alpha,beta,r2,sample_size,MAE_before,MAE_after,RMSE_before,RMSE_after,bias_before,bias_after,IC_before,IC_after
ticker,QCOM,10D,0.0017327711698478206,0.025047088151344106,2.827829067597598e-05,308,0.06046310097111104,0.061132764069668194,0.09541960632578919,0.09407775509654696,-0.014088859065327601,-0.011196238282008867,0.025279198413526778,0.025279198413526778
ticker,QQQ,10D,0.004787540931453491,0.10351239623321885,0.0006895720094408642,308,0.031234878135100754,0.029590118784611406,0.040711816853388635,0.0389740352805665,-0.012089732823195459,-0.006187240525048195,0.03605051664753158,0.03605051664753158
ticker,SPY,10D,0.003469014403998363,-0.0950540371438392,0.0010081314664794894,308,0.02545224681650884,0.02163664991776664,0.032910156848161135,0.029157269023364216,-0.010545968122290408,-0.003342758108084041,-0.0909925895000522,0.0909925895000522
ticker,TSLA,10D,0.009200723462241685,-0.1165087659832552,0.0011310062623168804,308,0.0773413519721589,0.07745812941457085,0.09756615986849614,0.09584567295307875,-0.01143109061661537,0.0022609623481163127,-0.019601294228159902,0.019601294228159902
ticker,TXN,10D,0.0018582144323672808,0.6334117537591653,0.028065210554938935,308,0.07298035779809078,0.07163223040370469,0.09180046572654697,0.09045747664689424,-0.013895243360120725,-0.01403127507116481,0.05032877570191004,0.05032877570191004
ticker,VIST,10D,0.03827624938896662,-0.4216926421388019,0.019935482650555003,308,0.08108124464561242,0.07963421282049316,0.10953522915423135,0.10701420449889897,-0.011560820932673216,0.020753459156771844,-0.0927043106147584,0.0927043106147584
ticker,YPF,10D,0.0358403374435155,0.10483863264084467,0.0027042829866846807,308,0.08550495484256941,0.08776735305518928,0.1146711028748471,0.11136477450802403,-0.012789164912591492,0.02217164931767223,-0.15395052708485546,-0.15395052708485546
global,all,20D,0.01853362019312258,0.22551300982952524,0.0023481299461155514,7084,0.09207894958393424,0.09011367669188917,0.13629748454869783,0.13160008245065563,-0.027461329774205217,-0.011610824190953786,0.04850810579659093,0.04850810579659093
regime,neutral,20D,0.019332229921576988,0.12561907399813302,0.0006540610376154499,5382,0.08637059078485979,0.08502350603525237,0.12765866874819187,0.12327434284227258,-0.020942974068268238,-0.005049508454026466,0.057171720491369565,0.057171720491369565
regime,risk_off,20D,0.02322783263811552,0.6296473175040547,0.0045487325132853584,1472,0.11776656417976926,0.11312721336087202,0.16981817611534186,0.1630928039921744,-0.05679393045092163,-0.0340684725113815,-0.06362979980308502,-0.06362979980308502
volatility_quintile,"(-0.0009834, 0.000902]",20D,0.0303778918115967,7.551649939344003,0.0008150160448108235,1456,0.09427322231306036,0.0940990457632153,0.1341728734083717,0.1295964905194073,-0.035332849605636624,-0.005078831341287529,-0.0394963420096551,-0.0394963420096551
volatility_quintile,"(0.000902, 0.00189]",20D,0.019281335912725354,-1.0173055059264107,0.00014703783462244324,1416,0.08462670674399131,0.08367556392743379,0.1136038292711025,0.11073883833847553,-0.026350570907277302,-0.006608662367076504,0.021032129097292816,-0.021032129097292816
volatility_quintile,"(0.00189, 0.00341]",20D,0.02183883972345335,0.3687842799413415,7.53411142281335e-05,1397,0.09239382139745106,0.09261750730210902,0.13641110462622666,0.1335487152838325,-0.02788105915674485,-0.005475369826616841,-0.047565169613967964,-0.047565169613967964
