window_start,month,monthly_return
2022-01-03,2023-12,0.10799473155813866
2022-01-03,2024-01,-0.015155350297850756
2022-01-03,2024-02,0.1808753036272075
2022-01-03,2024-03,-0.025264310155022507
2022-01-03,2024-04,-0.09961767737093685
2022-01-03,2024-05,0.21796575820206332
2022-01-03,2024-06,-0.007616347263008194
2022-01-03,2024-07,0.0687830907915834
2022-01-03,2024-08,-0.04672645754273297
2022-01-03,2024-09,0.04327166122281079
2022-01-03,2024-10,0.026556911736475675
2022-01-03,2024-11,0.1858258182370105
2022-01-03,2024-12,0.3500640920827973
2022-01-03,2025-01,0.19392885749148658
2022-01-03,2025-02,-0.20555626489982282
2022-01-03,2025-03,-0.11358146425497007
2022-01-03,2025-04,0.07335075444762196
2022-01-03,2025-05,-0.04182189852665508
2022-01-03,2025-06,0.06378453414941343
2022-01-03,2025-07,0.08580321212138164
2022-01-03,2025-08,0.12727559683657774
2022-01-03,2025-09,0.12088323731251704
2022-01-03,2025-10,0.01815443968124253
2022-01-03,2025-11,-0.02582572127144711
2022-01-03,2025-12,0.060273658497212335
2022-01-03,2026-01,-0.03429800092313118
2022-01-03,2026-02,0.04279425456736563
2022-01-03,2026-03,-0.015777152530653038
2022-01-03,2026-04,0.17336035090699498
2022-01-03,2026-05,0.14887370880236883
2022-01-03,2026-06,0.04119811701554821
